name,description,chunks
Волк с Уолл-стрит,"1987 год. джордан белфорт становится брокером в успешном инвестиционном банке. вскоре банк закрывается после внезапного обвала индекса доу-джонса. по совету жены терезы джордан устраивается в небольшое заведение, занимающееся мелкими акциями. его настойчивый стиль общения с клиентами и врождённая харизма быстро даёт свои плоды. он знакомится с соседом по дому донни, торговцем, который сразу находит общий язык с джорданом и решает открыть с ним собственную фирму. в качестве сотрудников они нанимают нескольких друзей белфорта, его отца макса и называют компанию «стрэттон оукмонт». в свободное от работы время джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. однажды наступает момент, когда быстрым обогащением белфорта начинает интересоваться агент фбр...","Волк с Уолл-стрит: в свободное от работы время джордан прожигает жизнь: лавирует от одной вечеринки к другой, вступает в сексуальные отношения с проститутками, употребляет множество наркотических препаратов, в том числе кокаин и кваалюд. однажды наступает момент, когда быстрым обогащением белфорта начинает интересоваться агент фбр."
Холоп 2,"гриша, бывший мажор, побывавший холопом иставший человеком, после путешествия в«прошлое» чутко реагирует налюбую несправедливость. и, конечно, неможет пройти мимо беспредела, который творит наглая иизбалованная катя. ничего удивительного, чтовскоре мажорка обнаруживает себя вдругом времени.","Холоп 2: гриша, бывший мажор, побывавший холопом иставший человеком, после путешествия в«прошлое» чутко реагирует налюбую несправедливость. и, конечно, неможет пройти мимо беспредела, который творит наглая иизбалованная катя. ничего удивительного, чтовскоре мажорка обнаруживает себя вдругом времени."
Зеленая книга,"1960-е годы. после закрытия нью-йоркского ночного клуба наремонт вышибала тони попрозвищу болтун ищет подработку напару месяцев. какраз вэто время донширли—утонченный светский лев, богатый италантливый чернокожий музыкант, исполняющий классическую музыку—собирается втурне поюжным штатам, гдеещё сильны расистские убеждения ицарит сегрегация. оннанимает тони вкачестве водителя, телохранителя ичеловека, способного решать текущие проблемы. уэтих двоих такмало общего, иэта поездка навсегда изменит жизнь обоих.","1960-е годы. после закрытия нью-йоркского ночного клуба наремонт вышибала тони попрозвищу болтун ищет подработку напару месяцев. какраз вэто время донширли—утонченный светский лев, богатый италантливый чернокожий музыкант, исполняющий классическую музыку—собирается втурне поюжным штатам, гдеещё сильны расистские убеждения ицарит сегрегация. оннанимает тони вкачестве водителя, телохранителя ичеловека, способного решать текущие проблемы."
Игра престолов,"к концу подходит время благоденствия, илето, длившееся почти десятилетие, угасает. вокруг средоточия власти семи королевств, железного трона, зреет заговор, ив этонепростое время король решает искать поддержки удруга юности эддарда старка. вмире, гдевсе—от короля донаемника—рвутся квласти, плетут интриги иготовы вонзить ножв спину, есть место иблагородству, состраданию илюбви. между темникто незамечает пробуждение тьмы излегенд далеко насевере—и лишь стена защищает живых кюгу отнее.","Игра престолов: к концу подходит время благоденствия, илето, длившееся почти десятилетие, угасает. вокруг средоточия власти семи королевств, железного трона, зреет заговор, ив этонепростое время король решает искать поддержки удруга юности эддарда старка. вмире, гдевсе—от короля донаемника—рвутся квласти, плетут интриги иготовы вонзить ножв спину, есть место иблагородству, состраданию илюбви. между темникто незамечает пробуждение тьмы излегенд далеко насевере—и лишь стена защищает живых кюгу отнее."
По щучьему велению,"если тыидешь нарыбалку—будь готов ктому, чтовытянешь рыбу своей мечты, волшебную щуку, которая может исполнить трилюбых твоих желания. только емеля спустил дважелания наветер, атретье решил приберечь. поэтому, чтобы добиться руки царской дочери анфисы, придется емудействовать безволшебной силы, самому. апомогать емубудет щука, которая безсвоей шкурки предстает обычной девушкой василисой. вместе импредстоит найти скатерть-самобранку, встретиться скотом баюном, отправиться вмрачное царство кощея ипонять, чтонастоящее чудо—это быть стем, кого любишь.","если тыидешь нарыбалку—будь готов ктому, чтовытянешь рыбу своей мечты, волшебную щуку, которая может исполнить трилюбых твоих желания. только емеля спустил дважелания наветер, атретье решил приберечь. поэтому, чтобы добиться руки царской дочери анфисы, придется емудействовать безволшебной силы, самому. апомогать емубудет щука, которая безсвоей шкурки предстает обычной девушкой василисой."
Достать ножи,"на следующее утро после празднования 85-летия известного автора криминальных романов харлана тромби виновника торжества находят мёртвым. налицо—явное самоубийство, нополиция попротоколу опрашивает всех присутствующих вособняке членов семьи, хотя, вэтом деле больше заинтересован частный детектив бенуа блан. темже утром онполучил конверт сналичными отнеизвестного изаказ нарасследование смерти харлана. ненужно быть опытным следователем, чтобы понять, чтовсе приукрашивают свои отношения спочившим главой семейства, ноблану достаётся настоящий подарок—медсестра покойного, которая физически невыносит ложь.","на следующее утро после празднования 85-летия известного автора криминальных романов харлана тромби виновника торжества находят мёртвым. налицо—явное самоубийство, нополиция попротоколу опрашивает всех присутствующих вособняке членов семьи, хотя, вэтом деле больше заинтересован частный детектив бенуа блан. темже утром онполучил конверт сналичными отнеизвестного изаказ нарасследование смерти харлана."
Достать ножи,"на следующее утро после празднования 85-летия известного автора криминальных романов харлана тромби виновника торжества находят мёртвым. налицо—явное самоубийство, нополиция попротоколу опрашивает всех присутствующих вособняке членов семьи, хотя, вэтом деле больше заинтересован частный детектив бенуа блан. темже утром онполучил конверт сналичными отнеизвестного изаказ нарасследование смерти харлана. ненужно быть опытным следователем, чтобы понять, чтовсе приукрашивают свои отношения спочившим главой семейства, ноблану достаётся настоящий подарок—медсестра покойного, которая физически невыносит ложь.","Достать ножи: темже утром онполучил конверт сналичными отнеизвестного изаказ нарасследование смерти харлана. ненужно быть опытным следователем, чтобы понять, чтовсе приукрашивают свои отношения спочившим главой семейства, ноблану достаётся настоящий подарок—медсестра покойного, которая физически невыносит ложь."
Один дома,"американское семейство отправляется из чикаго в европу, но в спешке сборов бестолковые родители забывают дома... одного из своих детей. юное создание, однако, не теряется и демонстрирует чудеса изобретательности. и когда в дом залезают грабители, им приходится не раз пожалеть о встрече с милым крошкой.","Один дома: американское семейство отправляется из чикаго в европу, но в спешке сборов бестолковые родители забывают дома. одного из своих детей. юное создание, однако, не теряется и демонстрирует чудеса изобретательности. и когда в дом залезают грабители, им приходится не раз пожалеть о встрече с милым крошкой."
Брат 2,"участвуя впрограмме нателевидении, данила багров встречает своих друзей послужбе вчечне. одного изних внезапно убивают. выясняется, чтоу того были неприятности из-за брата-хоккеиста вамерике. данила должен разобраться. онвылетает вамерику иза компанию берёт ссобой старшего брата.","Брат 2: участвуя впрограмме нателевидении, данила багров встречает своих друзей послужбе вчечне. одного изних внезапно убивают. выясняется, чтоу того были неприятности из-за брата-хоккеиста вамерике. данила должен разобраться. онвылетает вамерику иза компанию берёт ссобой старшего брата."
Остров проклятых,"два американских судебных пристава отправляются на один из островов в штате массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. при проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники.","Остров проклятых: два американских судебных пристава отправляются на один из островов в штате массачусетс, чтобы расследовать исчезновение пациентки клиники для умалишенных преступников. при проведении расследования им придется столкнуться с паутиной лжи, обрушившимся ураганом и смертельным бунтом обитателей клиники."
Иван Васильевич меняет профессию,"инженер-изобретатель тимофеев сконструировал машину времени, которая соединила егоквартиру сxvi веком—точнее, спалатами государя ивана грозного. туда-то ипопадают тёзка царя пенсионер-общественник иван васильевич бунша иквартирный воржорж милославский, асам великий государь оказывается вквартире тимофеева.","Иван Васильевич меняет профессию: инженер-изобретатель тимофеев сконструировал машину времени, которая соединила егоквартиру сxvi веком—точнее, спалатами государя ивана грозного. туда-то ипопадают тёзка царя пенсионер-общественник иван васильевич бунша иквартирный воржорж милославский, асам великий государь оказывается вквартире тимофеева."
Аватар,"бывший морпех джейк салли прикован кинвалидному креслу. несмотря нанемощное тело, джейк вдуше по-прежнему остается воином. онполучает задание совершить путешествие внесколько световых летк базе землян напланете пандора, гдекорпорации добывают редкий минерал, имеющий огромное значение длявыхода земли изэнергетического кризиса.","Аватар: бывший морпех джейк салли прикован кинвалидному креслу. несмотря нанемощное тело, джейк вдуше по-прежнему остается воином. онполучает задание совершить путешествие внесколько световых летк базе землян напланете пандора, гдекорпорации добывают редкий минерал, имеющий огромное значение длявыхода земли изэнергетического кризиса."
Бойцовский клуб,"сотрудник страховой компании страдает хронической бессонницей иотчаянно пытается вырваться измучительно скучной жизни. однажды вочередной командировке онвстречает некоего тайлера дёрдена—харизматического торговца мылом сизвращенной философией. тайлер уверен, чтосамосовершенствование—удел слабых, аединственное, ради чего стоит жить,—саморазрушение.проходит немного времени, ивот уженовые друзья лупят друг друга почем зряна стоянке перед баром, иочищающий мордобой доставляет имвысшее блаженство. приобщая других мужчин кпростым радостям физической жестокости, ониосновывают тайный бойцовский клуб, который начинает пользоваться невероятной популярностью.","сотрудник страховой компании страдает хронической бессонницей иотчаянно пытается вырваться измучительно скучной жизни. однажды вочередной командировке онвстречает некоего тайлера дёрдена—харизматического торговца мылом сизвращенной философией. тайлер уверен, чтосамосовершенствование—удел слабых, аединственное, ради чего стоит жить,—саморазрушение. проходит немного времени, ивот уженовые друзья лупят друг друга почем зряна стоянке перед баром, иочищающий мордобой доставляет имвысшее блаженство."
Бойцовский клуб,"сотрудник страховой компании страдает хронической бессонницей иотчаянно пытается вырваться измучительно скучной жизни. однажды вочередной командировке онвстречает некоего тайлера дёрдена—харизматического торговца мылом сизвращенной философией. тайлер уверен, чтосамосовершенствование—удел слабых, аединственное, ради чего стоит жить,—саморазрушение.проходит немного времени, ивот уженовые друзья лупят друг друга почем зряна стоянке перед баром, иочищающий мордобой доставляет имвысшее блаженство. приобщая других мужчин кпростым радостям физической жестокости, ониосновывают тайный бойцовский клуб, который начинает пользоваться невероятной популярностью.","Бойцовский клуб: проходит немного времени, ивот уженовые друзья лупят друг друга почем зряна стоянке перед баром, иочищающий мордобой доставляет имвысшее блаженство. приобщая других мужчин кпростым радостям физической жестокости, ониосновывают тайный бойцовский клуб, который начинает пользоваться невероятной популярностью."
Беспринципные,"добро пожаловать на патриаршие. смешные и волнующие подробности личной жизни богатых москвичей, которые, как и все, попадают в неловкие ситуации. правда, ситуации у них не самые обычные... жена чувствует себя виноватой, познакомившись с любовницей мужа. муж прикрывается выдуманной дочерью друга. а друг толкает помощника на измену, потому что так хочет жена. и это только начало. одним словом, неприличные истории о приличных, казалось бы, людях. ","Беспринципные: добро пожаловать на патриаршие. смешные и волнующие подробности личной жизни богатых москвичей, которые, как и все, попадают в неловкие ситуации. правда, ситуации у них не самые обычные. жена чувствует себя виноватой, познакомившись с любовницей мужа. муж прикрывается выдуманной дочерью друга. а друг толкает помощника на измену, потому что так хочет жена. и это только начало. одним словом, неприличные истории о приличных, казалось бы, людях."
Холоп,"27-летний московский мажор григорий ошалел отбезнаказанности. богатый папа стабильно егоотмазывает, датак, чтоуже обновил автопарк иоборудование отделению полиции, гдеслужит начальником егодруг. после очередной выходки терпение отца иссякает, ион обращается кпсихологу, практикующему шоковые методы воздействия напациентов.вскоре сынуля попадает ваварию иприходит всебя надеревенской конюшне. надворе—россия 1860 года, асам он—бесправный конюх гришка, которому залюбую провинность иослушание всегда готовы всыпать плетей, ато ивздёрнуть наглазах увсего честного народа.","27-летний московский мажор григорий ошалел отбезнаказанности. богатый папа стабильно егоотмазывает, датак, чтоуже обновил автопарк иоборудование отделению полиции, гдеслужит начальником егодруг. после очередной выходки терпение отца иссякает, ион обращается кпсихологу, практикующему шоковые методы воздействия напациентов. вскоре сынуля попадает ваварию иприходит всебя надеревенской конюшне."
Побег из Шоушенка,"бухгалтер энди дюфрейн обвинён в убийстве собственной жены и её любовника. оказавшись в тюрьме под названием шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. каждый, кто попадает в эти стены, становится их рабом до конца жизни. но энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения.","Побег из Шоушенка: бухгалтер энди дюфрейн обвинён в убийстве собственной жены и её любовника. оказавшись в тюрьме под названием шоушенк, он сталкивается с жестокостью и беззаконием, царящими по обе стороны решётки. каждый, кто попадает в эти стены, становится их рабом до конца жизни. но энди, обладающий живым умом и доброй душой, находит подход как к заключённым, так и к охранникам, добиваясь их особого к себе расположения."
